iso3_o,2000_0.0001,2010_0.0001,2020_0.0001,2000_0.0002,2010_0.0002,2020_0.0002,2000_0.0003,2010_0.0003,2020_0.0003,2000_0.0004,2010_0.0004,2020_0.0004,2000_0.0005,2010_0.0005,2020_0.0005,avg_2000,avg_2010,avg_2020,2000_quin,2010_quin,2020_quin
LBN,35,31,31,27,18,21,19,16,17,16,15,15,15,14,15,22.4,18.8,19.8,5,5,5
ROU,11,18,21,10,18,19,9,16,19,8,15,19,7,14,19,9,16.2,19.4,5,5,5
ARM,12,17,19,11,17,18,11,17,18,11,17,17,9,16,16,10.8,16.8,17.6,5,5,5
BGR,8,16,18,8,15,18,7,14,17,6,13,15,6,13,15,7,14.2,16.6,4,5,5
LKA,19,19,20,17,18,18,16,16,16,11,13,14,11,13,14,14.8,15.8,16.4,5,5,5
UKR,15,18,21,13,17,19,10,14,14,10,14,13,8,13,13,11.2,15.2,16,5,5,5
MDA,9,14,19,9,13,16,8,13,15,7,13,14,7,13,14,8,13.2,15.6,4,5,5
IRQ,14,16,19,14,15,17,10,13,15,10,12,12,9,12,11,11.4,13.6,14.8,5,5,5
POL,13,15,16,9,15,15,8,15,15,7,15,14,7,14,13,8.8,14.8,14.6,4,5,5
GEO,13,15,17,12,12,14,10,12,13,8,10,13,8,10,13,10.2,11.8,14,5,5,5
MKD,15,16,15,15,14,14,15,13,14,14,13,14,13,13,13,14.4,13.8,14,5,5,5
PRT,15,16,16,14,15,14,14,15,14,14,14,13,13,13,12,14,14.6,13.8,5,5,5
PHL,14,19,18,10,12,15,9,11,13,9,11,11,9,10,11,10.2,12.6,13.6,5,5,5
BIH,14,14,14,14,14,14,13,14,13,13,14,13,13,14,13,13.4,14,13.4,5,5,5
RUS,15,21,20,15,15,15,14,13,11,13,12,11,13,12,9,14,14.6,13.2,5,5,5
GRC,14,13,14,12,11,14,10,9,12,9,8,12,9,8,12,10.8,9.8,12.8,5,5,5
AFG,,12,15,,10,13,,7,12,,7,11,,7,9,,8.6,12,,4,5
DEU,18,18,17,11,12,13,10,10,10,9,10,10,9,10,10,11.4,12,12,5,5,5
ITA,16,14,15,12,10,12,11,10,12,11,10,10,11,10,9,12.2,10.8,11.6,5,5,5
URY,13,16,16,12,14,12,12,13,11,11,11,10,11,10,9,11.8,12.8,11.6,5,5,5
LTU,6,9,11,5,9,11,5,9,11,5,9,11,4,9,11,5,9,11,3,4,5
ALB,5,11,13,4,11,11,4,9,11,4,9,11,4,9,9,4.2,9.8,11,2,5,5
AUS,16,18,20,11,13,12,10,10,11,9,8,5,8,8,4,10.8,11.4,10.4,5,5,5
CHL,16,17,17,13,13,14,10,12,9,8,6,7,6,5,5,10.6,10.6,10.4,5,5,5
PSE,12,12,12,12,12,11,11,12,10,11,12,9,11,12,9,11.4,12,10.2,5,5,5
SGP,14,12,14,13,10,10,10,9,9,9,9,9,9,7,9,11,9.4,10.2,5,4,5
HRV,15,13,12,12,10,11,9,9,9,8,8,9,8,8,9,10.4,9.6,10,5,4,5
NZL,17,18,14,13,13,11,10,10,11,9,9,8,6,6,5,11,11.2,9.8,5,5,5
HUN,8,8,11,7,8,10,7,8,10,7,8,9,7,7,8,7.2,7.8,9.6,4,4,4
ESP,12,11,14,10,8,10,10,6,9,9,6,7,9,4,7,10,7,9.4,5,4,4
VNM,11,10,12,7,9,9,6,8,9,5,8,7,5,7,7,6.8,8.4,8.8,4,4,4
COG,12,16,12,12,13,10,12,9,9,7,8,7,7,7,6,10,10.6,8.8,5,5,4
LVA,5,9,11,5,9,9,5,8,9,4,7,7,4,7,7,4.6,8,8.6,2,4,4
COL,8,13,13,5,9,9,5,7,9,4,6,7,4,4,5,5.2,7.8,8.6,3,4,4
KAZ,14,14,13,10,13,10,10,11,7,10,10,7,7,10,6,10.2,11.6,8.6,5,5,4
GBR,16,15,13,10,11,8,9,11,8,7,11,7,7,7,6,9.8,11,8.4,5,5,4
MAR,9,9,9,8,8,8,7,8,8,7,8,8,7,8,8,7.6,8.2,8.2,4,4,4
MLI,8,11,11,7,8,8,7,8,8,7,8,7,7,7,7,7.2,8.4,8.2,4,4,4
BLR,9,11,10,8,10,9,8,10,8,8,9,7,8,8,7,8.2,9.6,8.2,4,4,4
PER,10,10,10,8,8,9,7,7,7,7,7,7,7,7,7,7.8,7.8,8,4,4,4
GMB,,11,11,,6,10,,5,7,,4,6,,4,6,,6,8,,3,4
KOR,11,13,10,6,8,8,5,8,8,4,6,8,4,6,6,6,8.2,8,3,4,4
BDI,5,5,8,5,5,8,4,4,8,4,4,8,4,3,8,4.4,4.2,8,2,2,4
SLV,11,9,10,8,8,9,5,7,8,4,6,7,2,5,6,6,7,8,3,4,4
TUR,10,11,11,9,9,9,8,9,7,7,6,6,6,6,6,8,8.2,7.8,4,4,4
DOM,8,8,9,8,7,8,6,7,7,6,6,7,6,6,7,6.8,6.8,7.6,4,3,4
NPL,4,6,9,3,6,8,3,6,8,3,6,7,3,5,6,3.2,5.8,7.6,2,3,4
CIV,4,7,9,3,6,9,3,6,8,3,6,6,3,6,5,3.2,6.2,7.4,2,3,4
HKG,11,9,8,10,9,8,9,8,7,7,8,7,6,7,6,8.6,8.2,7.2,4,4,4
JOR,10,10,8,10,8,7,9,7,7,7,7,7,6,7,7,8.4,7.8,7.2,4,4,4
ZWE,7,9,9,7,8,7,6,8,7,6,7,7,6,6,6,6.4,7.6,7.2,4,4,4
AGO,9,10,8,9,7,7,8,7,7,8,7,7,7,6,7,8.2,7.4,7.2,4,4,4
THA,7,13,15,2,6,9,1,5,5,1,2,4,1,2,3,2.4,5.6,7.2,1,3,4
BGD,6,8,8,6,8,7,5,6,7,5,6,7,5,6,6,5.4,6.8,7,3,3,4
ECU,7,8,8,6,6,8,6,5,7,5,5,6,5,5,5,5.8,5.8,6.8,3,3,3
