,country,loggdppc,britcol,dem,cpi,stab,fp
0,Afghanistan,6.216606,0,10.766666,1.6999999,-2.495174,27.666666
1,Albania,8.216088,0,24.666666,2.9833333,-0.24398118,50.0
2,Algeria,8.427268,0,10.1,2.9666667,-1.1277637,37.833332
4,Angola,8.371011,0,2.3833334,2.0166667,-0.50549436,37.166668
6,Argentina,9.118225,0,28.466665,2.8833334,0.0073873573,51.666668
7,Armenia,8.016318,0,22.616667,2.8333335,-0.009873525,34.5
8,Australia,10.833681,1,31.35,8.7,0.89003396,79.0
9,Austria,10.7121935,0,38.2,8.216667,1.1656921,79.0
10,Azerbaijan,8.672486,0,12.033333,2.2166667,-0.6261965,23.166666
12,Bahrain,9.809176,0,1.1333333,5.3166666,-0.22028308,28.666666
13,Bangladesh,6.514713,1,15.166666,2.1,-1.5369222,37.5
14,Barbados,9.615806,1,21.45,7.116667,1.0501757,81.666664
15,Belarus,8.669056,0,12.150001,2.2833333,0.24993719,9.333333
16,Belgium,10.664293,0,44.416668,7.2166667,0.77314097,88.5
18,Benin,6.6080008,0,11.5,2.8166666,0.38275594,68.666664
19,Bhutan,7.6449194,0,1.55,5.38,0.9086796,39.5
20,Bolivia,7.5908523,0,16.433332,2.7666667,-0.7196665,60.0
21,Bosnia Herzegovina,8.396154,0,26.133333,3.0833335,-0.53134406,53.666668
22,Botswana,8.913281,1,12.3,5.6833334,0.9303681,63.0
23,Brazil,9.305651,0,28.566668,3.5666666,-0.15112615,58.0
24,Brunei Darussalam,10.3417425,0,0.0,5.5,1.2389901,24.5
25,Bulgaria,8.753056,0,32.666668,3.85,0.33090314,65.666664
26,Burkina Faso,6.2841344,0,4.25,3.2833333,0.06618463,59.833332
28,Burundi,5.488938,0,14.816667,2.1166666,-1.4521365,25.5
29,Cambodia,6.6783423,0,7.65,2.05,-0.4824671,39.333332
30,Cameroon,7.0475173,0,6.6,2.2666667,-0.41727763,34.166668
31,Canada,10.740735,1,27.133333,8.65,1.001815,81.666664
32,Cape Verde,8.113726,0,18.483334,5.05,0.84739375,71.333336
33,Central African Republic,6.1114674,0,7.6,2.1,-1.8618112,39.5
34,Chad,6.6346335,0,11.133333,1.7333333,-1.7298728,25.166666
35,Chile,9.441452,0,20.316668,7.0666666,0.57510924,71.0
36,China,8.396154,0,0.0,3.45,-0.5756681,15.833333
